M WGT
8.0 0.0
8.1 0.0
8.2 0.016
8.3 0.016
8.4 0.09
8.5 0.09
8.6 0.111
8.7 0.111
8.8 0.071
8.9 0.070
9.0 0.105
9.1 0.105
9.2 0.075
9.3 0.075
9.4 0.095
9.5 0.095
9.6 0.13
9.7 0.13
9.8 0.113
9.9 0.113
10.0 0.131
10.1 0.131
10.2 0.187
10.3 0.187
10.4 0.337
10.5 0.337
10.6 0.373
10.7 0.373
10.8 0.508
10.9 0.508
11.0 0.599
11.1 0.599
11.2 0.712
11.3 0.712
11.4 0.944
11.5 0.944
11.6 1.0
11.7 1.0
11.8 0.363
11.9 0.363
12.0 0.194
12.1 0.194
