clin values
-2.051051051051051011e-01 1.496206356971855212e-03
-2.045045045045044974e-01 1.606422794589954959e-03
-2.039039039039038936e-01 1.724220094123586795e-03
-2.033033033033032899e-01 1.850077953193656919e-03
-2.027027027027026862e-01 1.984503344939070671e-03
-2.021021021021021102e-01 2.128031853297075639e-03
-2.015015015015014788e-01 2.281229059282796189e-03
-2.009009009009009028e-01 2.444691979284838688e-03
-2.003003003003002991e-01 2.619050556350762272e-03
-1.996996996996996954e-01 2.804969205385563196e-03
-1.990990990990990916e-01 3.003148413131795022e-03
-1.984984984984984879e-01 3.214326393737320948e-03
-1.978978978978979120e-01 3.439280800649016558e-03
-1.972972972972972805e-01 3.678830495495298992e-03
-1.966966966966967045e-01 3.933837374538503434e-03
-1.960960960960960731e-01 4.205208253189010766e-03
-1.954954954954954971e-01 4.493896808975579062e-03
-1.948948948948948934e-01 4.800905583262686689e-03
-1.942942942942942897e-01 5.127288041892059077e-03
-1.936936936936936859e-01 5.474150694805615495e-03
-1.930930930930930822e-01 5.842655274577376011e-03
-1.924924924924925063e-01 6.234020973644016812e-03
-1.918918918918918748e-01 6.649526739877194455e-03
-1.912912912912912988e-01 7.090513629984731593e-03
-1.906906906906906674e-01 7.558387220063588624e-03
-1.900900900900900914e-01 8.054620072452093119e-03
-1.894894894894894877e-01 8.580754257847012303e-03
-1.888888888888888840e-01 9.138403931456151597e-03
-1.882882882882882802e-01 9.729257961755971573e-03
-1.876876876876876765e-01 1.035508261021076543e-02
-1.870870870870871006e-01 1.101772426008773044e-02
-1.864864864864864691e-01 1.171911219227192436e-02
-1.858858858858858931e-01 1.246126140574181640e-02
-1.852852852852852616e-01 1.324627548011900191e-02
-1.846846846846846857e-01 1.407634947744125682e-02
-1.840840840840840820e-01 1.495377288004358721e-02
-1.834834834834834782e-01 1.588093256114966878e-02
-1.828828828828828745e-01 1.686031578449240925e-02
-1.822822822822822708e-01 1.789451322898437738e-02
-1.816816816816816949e-01 1.898622203415675086e-02
-1.810810810810810634e-01 2.013824886177376094e-02
-1.804804804804804874e-01 2.135351296870932267e-02
-1.798798798798798559e-01 2.263504928585008402e-02
-1.792792792792792800e-01 2.398601149745157105e-02
-1.786786786786786763e-01 2.540967511504352988e-02
-1.780780780780780725e-01 2.690944053962850482e-02
-1.774774774774774688e-01 2.848883610557858409e-02
-1.768768768768768651e-01 3.015152109927686855e-02
-1.762762762762762891e-01 3.190128874520004043e-02
-1.756756756756756577e-01 3.374206915177955374e-02
-1.750750750750750817e-01 3.567793220902063661e-02
-1.744744744744744780e-01 3.771309042950335422e-02
-1.738738738738738743e-01 3.985190172402670872e-02
-1.732732732732732706e-01 4.209887210280660597e-02
-1.726726726726726668e-01 4.445865829278271980e-02
-1.720720720720720631e-01 4.693607026124040765e-02
-1.714714714714714594e-01 4.953607363561148696e-02
-1.708708708708708557e-01 5.226379200898149252e-02
-1.702702702702702520e-01 5.512450912049954299e-02
-1.696696696696696760e-01 5.812367089957097555e-02
-1.690690690690690723e-01 6.126688736240230165e-02
-1.684684684684684686e-01 6.455993434917120521e-02
-1.678678678678678649e-01 6.800875508981432671e-02
-1.672672672672672611e-01 7.161946158615682678e-02
-1.666666666666666574e-01 7.539833579785738815e-02
-1.660660660660660537e-01 7.935183061941233906e-02
-1.654654654654654500e-01 8.348657063525077859e-02
-1.648648648648648463e-01 8.780935263976377692e-02
-1.642642642642642703e-01 9.232714590894461337e-02
-1.636636636636636666e-01 9.704709221018076315e-02
-1.630630630630630629e-01 1.019765055366170653e-01
-1.624624624624624591e-01 1.071228715524393665e-01
-1.618618618618618554e-01 1.124938467353596289e-01
-1.612612612612612517e-01 1.180972572025757589e-01
-1.606606606606606480e-01 1.239410972064834554e-01
-1.600600600600600443e-01 1.300335272864711067e-01
-1.594594594594594683e-01 1.363828720632160874e-01
-1.588588588588588646e-01 1.429976176620223471e-01
-1.582582582582582609e-01 1.498864087519072019e-01
-1.576576576576576572e-01 1.570580451873560823e-01
-1.570570570570570534e-01 1.645214782399134490e-01
-1.564564564564564497e-01 1.722858064070718342e-01
-1.558558558558558460e-01 1.803602707862730081e-01
-1.552552552552552423e-01 1.887542500022150460e-01
-1.546546546546546386e-01 1.974772546761104364e-01
-1.540540540540540626e-01 2.065389214260150985e-01
-1.534534534534534589e-01 2.159490063879088706e-01
