xlin values
-2.429429429429429632e+00 3.096181193234968584e-02
-2.423423423423423539e+00 3.162953813592683100e-02
-2.417417417417417447e+00 3.230767751721284192e-02
-2.411411411411411354e+00 3.299628445180528835e-02
-2.405405405405405261e+00 3.369541058573876507e-02
-2.399399399399399613e+00 3.440510475286903680e-02
-2.393393393393393520e+00 3.512541289230852043e-02
-2.387387387387387427e+00 3.585637796597625909e-02
-2.381381381381381335e+00 3.659803987632966049e-02
-2.375375375375375242e+00 3.735043538434393295e-02
-2.369369369369369593e+00 3.811359802780787259e-02
-2.363363363363363501e+00 3.888755804000573052e-02
-2.357357357357357408e+00 3.967234226885484050e-02
-2.351351351351351315e+00 4.046797409657182376e-02
-2.345345345345345223e+00 4.127447335993931349e-02
-2.339339339339339574e+00 4.209185627124679280e-02
-2.333333333333333481e+00 4.292013533998111779e-02
-2.327327327327327389e+00 4.375931929534068038e-02
-2.321321321321321296e+00 4.460941300965112766e-02
-2.315315315315315203e+00 4.547041742275872295e-02
-2.309309309309309555e+00 4.634232946747945947e-02
-2.303303303303303462e+00 4.722514199618257913e-02
-2.297297297297297369e+00 4.811884370858662829e-02
-2.291291291291291277e+00 4.902341908084904137e-02
-2.285285285285285184e+00 4.993884829602766862e-02
-2.279279279279279535e+00 5.086510717599573850e-02
-2.273273273273273443e+00 5.180216711489016301e-02
-2.267267267267267350e+00 5.274999501417416969e-02
-2.261261261261261257e+00 5.370855321939545929e-02
-2.255255255255255165e+00 5.467779945872092151e-02
-2.249249249249249516e+00 5.565768678332832370e-02
-2.243243243243242979e+00 5.664816350973729542e-02
-2.237237237237237331e+00 5.764917316415796994e-02
-2.231231231231231238e+00 5.866065442894136811e-02
-2.225225225225225145e+00 5.968254109120737366e-02
-2.219219219219219497e+00 6.071476199373406629e-02
-2.213213213213212960e+00 6.175724098818501095e-02
-2.207207207207207311e+00 6.280989689075350269e-02
-2.201201201201201219e+00 6.387264344030364749e-02
-2.195195195195195126e+00 6.494538925908206750e-02
-2.189189189189189033e+00 6.602803781607970157e-02
-2.183183183183182940e+00 6.712048739311715639e-02
-2.177177177177177292e+00 6.822263105372819436e-02
-2.171171171171171199e+00 6.933435661491534063e-02
-2.165165165165165106e+00 7.045554662184784489e-02
-2.159159159159159014e+00 7.158607832557445372e-02
-2.153153153153152921e+00 7.272582366381859231e-02
-2.147147147147147273e+00 7.387464924492448404e-02
-2.141141141141141180e+00 7.503241633502022445e-02
-2.135135135135135087e+00 7.619898084846092601e-02
-2.129129129129128994e+00 7.737419334161668716e-02
-2.123123123123122902e+00 7.855789901006379750e-02
-2.117117117117117253e+00 7.974993768923940851e-02
-2.111111111111111160e+00 8.095014385861609707e-02
-2.105105105105105068e+00 8.215834664944958454e-02
-2.099099099099098975e+00 8.337436985615377660e-02
-2.093093093093092882e+00 8.459803195135215392e-02
-2.087087087087087234e+00 8.582914610465235128e-02
-2.081081081081081141e+00 8.706752020519101243e-02
-2.075075075075075048e+00 8.831295688798909693e-02
-2.069069069069068956e+00 8.956525356415923067e-02
-2.063063063063062863e+00 9.082420245500154310e-02
-2.057057057057057214e+00 9.208959063002254697e-02
-2.051051051051051122e+00 9.336120004890866020e-02
-2.045045045045045029e+00 9.463880760748194509e-02
-2.039039039039038936e+00 9.592218518766529312e-02
-2.033033033033032844e+00 9.721109971147788575e-02
-2.027027027027027195e+00 9.850531319908109595e-02
-2.021021021021021102e+00 9.980458283089091442e-02
-2.015015015015015010e+00 1.011086610137684888e-01
-2.009009009009008917e+00 1.024172954513000305e-01
-2.003003003003002824e+00 1.037302292181710300e-01
-1.996996996996996954e+00 1.050472008386372363e-01
-1.990990990990991083e+00 1.063679443690924153e-01
-1.984984984984984990e+00 1.076921894847276823e-01
-1.978978978978978898e+00 1.090196615702744842e-01
-1.972972972972973027e+00 1.103500818148202833e-01
-1.966966966966966934e+00 1.116831673106812445e-01
-1.960960960960961064e+00 1.130186311563123325e-01
-1.954954954954954971e+00 1.143561825632338491e-01
-1.948948948948948878e+00 1.156955269669460717e-01
-1.942942942942943008e+00 1.170363661418032247e-01
-1.936936936936936915e+00 1.183783983198126027e-01
-1.930930930930931044e+00 1.197213183133204323e-01
-1.924924924924924952e+00 1.210648176415441424e-01
-1.918918918918918859e+00 1.224085846609043321e-01
-1.912912912912912988e+00 1.237523046991087922e-01
-1.906906906906906896e+00 1.250956601929348877e-01
-1.900900900900900803e+00 1.264383308296530839e-01
-1.894894894894894932e+00 1.277799936920324675e-01
-1.888888888888888840e+00 1.291203234068632189e-01
-1.882882882882882969e+00 1.304589922969274784e-01
-1.876876876876876876e+00 1.317956705363487468e-01
-1.870870870870870784e+00 1.331300263092420610e-01
-1.864864864864864913e+00 1.344617259715877311e-01
-1.858858858858858820e+00 1.357904342162454536e-01
-1.852852852852852950e+00 1.371158142410218717e-01
-1.846846846846846857e+00 1.384375279197029018e-01
-1.840840840840840764e+00 1.397552359759564045e-01
-1.834834834834834894e+00 1.410685981600094951e-01
-1.828828828828828801e+00 1.423772734280003560e-01
-1.822822822822822930e+00 1.436809201238996025e-01
-1.816816816816816837e+00 1.449791961638974280e-01
-1.810810810810810745e+00 1.462717592231434494e-01
-1.804804804804804874e+00 1.475582669247296475e-01
-1.798798798798798781e+00 1.488383770307975251e-01
-1.792792792792792911e+00 1.501117476356530478e-01
-1.786786786786786818e+00 1.513780373607656604e-01
-1.780780780780780725e+00 1.526369055515288675e-01
-1.774774774774774855e+00 1.538880124756535350e-01
-1.768768768768768762e+00 1.551310195230658218e-01
-1.762762762762762669e+00 1.563655894071757924e-01
-1.756756756756756799e+00 1.575913863673842064e-01
-1.750750750750750706e+00 1.588080763726896771e-01
-1.744744744744744835e+00 1.600153273262566178e-01
-1.738738738738738743e+00 1.612128092708048355e-01
-1.732732732732732650e+00 1.624001945946768055e-01
-1.726726726726726779e+00 1.635771582384377143e-01
-1.720720720720720687e+00 1.647433779018635525e-01
-1.714714714714714816e+00 1.658985342511673511e-01
-1.708708708708708723e+00 1.670423111263167615e-01
-1.702702702702702631e+00 1.681743957482899343e-01
-1.696696696696696760e+00 1.692944789261201510e-01
-1.690690690690690667e+00 1.704022552635759691e-01
-1.684684684684684797e+00 1.714974233653224767e-01
-1.678678678678678704e+00 1.725796860424108903e-01
-1.672672672672672611e+00 1.736487505169402035e-01
-1.666666666666666741e+00 1.747043286257370376e-01
-1.660660660660660648e+00 1.757461370228966813e-01
-1.654654654654654777e+00 1.767738973810309144e-01
-1.648648648648648685e+00 1.777873365910654646e-01
-1.642642642642642592e+00 1.787861869604324971e-01
-1.636636636636636721e+00 1.797701864095021806e-01
-1.630630630630630629e+00 1.807390786660988680e-01
-1.624624624624624536e+00 1.816926134579464891e-01
-1.618618618618618665e+00 1.826305467028905005e-01
-1.612612612612612573e+00 1.835526406967432911e-01
-1.606606606606606702e+00 1.844586642985999725e-01
-1.600600600600600609e+00 1.853483931134765339e-01
-1.594594594594594517e+00 1.862216096721175940e-01
-1.588588588588588646e+00 1.870781036078285331e-01
-1.582582582582582553e+00 1.879176718301843463e-01
-1.576576576576576683e+00 1.887401186954701382e-01
-1.570570570570570590e+00 1.895452561737121788e-01
-1.564564564564564497e+00 1.903329040121563287e-01
-1.558558558558558627e+00 1.911028898950573873e-01
-1.552552552552552534e+00 1.918550495996416694e-01
-1.546546546546546663e+00 1.925892271481087770e-01
-1.540540540540540571e+00 1.933052749555426164e-01
-1.534534534534534478e+00 1.940030539736006254e-01
-1.528528528528528607e+00 1.946824338298569212e-01
-1.522522522522522515e+00 1.953432929626762737e-01
-1.516516516516516422e+00 1.959855187514979724e-01
-1.510510510510510551e+00 1.966090076424130140e-01
-1.504504504504504458e+00 1.972136652689219782e-01
-1.498498498498498588e+00 1.977994065677624591e-01
-1.492492492492492495e+00 1.983661558896991084e-01
-1.486486486486486402e+00 1.989138471051747348e-01
-1.480480480480480532e+00 1.994424237047211779e-01
-1.474474474474474439e+00 1.999518388940356717e-01
-1.468468468468468568e+00 2.004420556836308820e-01
-1.462462462462462476e+00 2.009130469729701884e-01
-1.456456456456456383e+00 2.013647956290055829e-01
-1.450450450450450512e+00 2.017972945590374434e-01
-1.444444444444444420e+00 2.022105467778225196e-01
-1.438438438438438549e+00 2.026045654688577169e-01
-1.432432432432432456e+00 2.029793740397739243e-01
-1.426426426426426364e+00 2.033350061717774937e-01
-1.420420420420420493e+00 2.036715058630812758e-01
-1.414414414414414400e+00 2.039889274662732288e-01
-1.408408408408408530e+00 2.042873357195723050e-01
-1.402402402402402437e+00 2.045668057719297050e-01
-1.396396396396396344e+00 2.048274232019345054e-01
-1.390390390390390474e+00 2.050692840304899900e-01
-1.384384384384384381e+00 2.052924947272311007e-01
-1.378378378378378288e+00 2.054971722106572474e-01
-1.372372372372372418e+00 2.056834438419606892e-01
-1.366366366366366325e+00 2.058514474125353044e-01
-1.360360360360360454e+00 2.060013311251540080e-01
-1.354354354354354362e+00 2.061332535688107648e-01
-1.348348348348348269e+00 2.062473836872238953e-01
-1.342342342342342398e+00 2.063439007410068637e-01
-1.336336336336336306e+00 2.064229942635133486e-01
-1.330330330330330435e+00 2.064848640103700561e-01
-1.324324324324324342e+00 2.065297199027172070e-01
-1.318318318318318250e+00 2.065577819641769008e-01
-1.312312312312312379e+00 2.065692802515789461e-01
-1.306306306306306286e+00 2.065644547794754926e-01
-1.300300300300300416e+00 2.065435554384811301e-01
-1.294294294294294323e+00 2.065068419074809203e-01
-1.288288288288288230e+00 2.064545835597511314e-01
-1.282282282282282360e+00 2.063870593630436900e-01
-1.276276276276276267e+00 2.063045577736897229e-01
-1.270270270270270174e+00 2.062073766247801143e-01
-1.264264264264264304e+00 2.060958230084884435e-01
-1.258258258258258211e+00 2.059702131526024993e-01
-1.252252252252252340e+00 2.058308722913371747e-01
-1.246246246246246248e+00 2.056781345305047914e-01
-1.240240240240240155e+00 2.055123427071224584e-01
-1.234234234234234284e+00 2.053338482435408119e-01
-1.228228228228228192e+00 2.051430109961819570e-01
-1.222222222222222321e+00 2.049401990989776212e-01
-1.216216216216216228e+00 2.047257888016034977e-01
-1.210210210210210136e+00 2.045001643026080895e-01
-1.204204204204204265e+00 2.042637175775378067e-01
-1.198198198198198172e+00 2.040168482021644802e-01
-1.192192192192192302e+00 2.037599631709242631e-01
-1.186186186186186209e+00 2.034934767106783837e-01
-1.180180180180180116e+00 2.032178100899126039e-01
-1.174174174174174246e+00 2.029333914234916214e-01
-1.168168168168168153e+00 2.026406554730895426e-01
-1.162162162162162282e+00 2.023400434434201589e-01
-1.156156156156156189e+00 2.020320027743919278e-01
-1.150150150150150097e+00 2.017169869293165552e-01
